Product ID,Category,Parent_Chain_Number,Attachment_number,Drawing_number,Spec_Number,Note
ATT-SM-001,Sugar Mill,9060,A42_AS2,sugar_att_a42_as2,sugar_att_a42_as2_data,
ATT-SM-002,Sugar Mill,9061,A42_AS2,sugar_att_a42_as2,sugar_att_a42_as2_data,
ATT-SM-003,Sugar Mill,1796,A42_AS2,sugar_att_a42_as2,sugar_att_a42_as2_data,
ATT-SM-004,Sugar Mill,C09063,A42_AS2,sugar_att_a42_as2,sugar_att_a42_as2_data,
ATT-SM-005,Sugar Mill,C09063H,A42_AS2,sugar_att_a42_as2,sugar_att_a42_as2_data,
ATT-SM-006,Sugar Mill,EC1331,A42_AS2,sugar_att_a42_as2,sugar_att_a42_as2_data,
ATT-SM-007,Sugar Mill,DN2184,A42_AS2,sugar_att_a42_as2,sugar_att_a42_as2_data,
ATT-SM-008,Sugar Mill,904,K2,sugar_att_k2,sugar_att_k2_data,
ATT-SM-009,Sugar Mill,9060,K2,sugar_att_k2,sugar_att_k2_data,
ATT-SM-010,Sugar Mill,9061,K2,sugar_att_k2,sugar_att_k2_data,
ATT-SM-011,Sugar Mill,1796,K2,sugar_att_k2,sugar_att_k2_data,
ATT-SM-012,Sugar Mill,C09063,K2,sugar_att_k2,sugar_att_k2_data,
ATT-SM-013,Sugar Mill,SS960,K2,sugar_att_k2,sugar_att_k2_data,
ATT-SM-014,Sugar Mill,2198,K2,sugar_att_k2,sugar_att_k2_data,
ATT-SM-015,Sugar Mill,8198,K2,sugar_att_k2,sugar_att_k2_data,
ATT-SM-016,Sugar Mill,113C,K2,sugar_att_k2,sugar_att_k2_data,
ATT-SM-017,Sugar Mill,116,K2,sugar_att_k2,sugar_att_k2_data,
ATT-SM-018,Sugar Mill,2804,K2,sugar_att_k2,sugar_att_k2_data,
ATT-SM-019,Sugar Mill,B5455,K2,sugar_att_k2,sugar_att_k2_data,
ATT-SM-020,Sugar Mill,B5457,K2,sugar_att_k2,sugar_att_k2_data,
ATT-SM-021,Sugar Mill,B5458,K2,sugar_att_k2,sugar_att_k2_data,
ATT-SM-022,Sugar Mill,8108,K2,sugar_att_k2,sugar_att_k2_data,
ATT-SM-023,Sugar Mill,996,K2,sugar_att_straight_k2,Sugar_att_straight_k2_data,