Product ID,Category,Chain Type,Chain Series,Drawing ID,Chain No.,Pitch (P) mm,b1 (min) mm,b2 (max) mm,Bush Dia D (max) mm,Sidebar Height h mm,Sidebar Thickness T mm,Pin Dia d mm,L1 mm,L2 mm,Ultimate Strength Fu (kN),Rated Load (kN),Weight (kg/m),Material
WC-001,Welded Chain,Narrow Series Welded Crank-Link Mill Chain,Narrow Series,welded_narrow_001,WR78,66.27,28.4,51,22.23,28.6,6.4,12.7,36.3,39.5,106.8,10.5,5.94,
WC-002,Welded Chain,Narrow Series Welded Crank-Link Mill Chain,Narrow Series,welded_narrow_001,DWR78,66.27,28.4,51,21.4,31.8,6.4,12.7,36.3,39.5,125,12.1,6.42,
WC-003,Welded Chain,Narrow Series Welded Crank-Link Mill Chain,Narrow Series,welded_narrow_001,WR78B,66.27,28.4,51,27,31.8,6.4,12.7,36.3,39.5,125,12.1,7.03,
WC-004,Welded Chain,Narrow Series Welded Crank-Link Mill Chain,Narrow Series,welded_narrow_001,WSR78,66.27,20,41.3,21.3,25.4,6.4,12.7,31.5,34.6,85.3,8.3,5.21,
WC-005,Welded Chain,Narrow Series Welded Crank-Link Mill Chain,Narrow Series,welded_narrow_001,WR78HD,66.95,25.4,51.2,25.4,31.8,9.5,14.27,40.2,45.3,133.4,14.7,9.41,
WC-006,Welded Chain,Narrow Series Welded Crank-Link Mill Chain,Narrow Series,welded_narrow_001,WR82,78.1,31.8,57.4,25.4,31.8,6.4,14.27,40,43.5,133.4,14.7,6.83,
WC-007,Welded Chain,Narrow Series Welded Crank-Link Mill Chain,Narrow Series,welded_narrow_001,WR82SS,78.1,31.8,57.4,25.4,31.8,6.4,14.27,40,43.5,133.4,14.7,6.83,Stainless Steel
WC-008,Welded Chain,Narrow Series Welded Crank-Link Mill Chain,Narrow Series,welded_narrow_001,WR82HD,78.1,28.6,60.8,31.75,38.1,9.5,19.05,46.5,50.8,215,20.5,12.71,
WC-009,Welded Chain,Narrow Series Welded Crank-Link Mill Chain,Narrow Series,welded_narrow_001,WR124,101.6,38.1,71.5,31.8,38.1,9.5,19.05,52,56,204,20.5,11.52,
WC-010,Welded Chain,Narrow Series Welded Crank-Link Mill Chain,Narrow Series,welded_narrow_001,WR124HD,103.2,38.1,76.3,41.28,50.8,12.7,25.4,59.4,64.3,378,46.5,21.33,
WC-011,Welded Chain,Narrow Series Welded Crank-Link Mill Chain,Narrow Series,welded_narrow_001,WR111,120.9,50.8,85.6,31.8,44.5,9.5,19.05,59.4,63.3,270,32.5,13.05,
WC-012,Welded Chain,Narrow Series Welded Crank-Link Mill Chain,Narrow Series,welded_narrow_001,WR106,152.4,38.1,71.5,31.8,38.1,9.5,19.05,52,56,204,20.5,9.65,
WC-013,Welded Chain,Narrow Series Welded Crank-Link Mill Chain,Narrow Series,welded_narrow_001,WR110,152.4,44.5,76.5,31.8,38.1,9.5,19.05,54.4,59.6,204,20.5,9.57,
WC-014,Welded Chain,Narrow Series Welded Crank-Link Mill Chain,Narrow Series,welded_narrow_001,WR132,153.67,69.85,111.6,44.5,50.8,12.7,25.4,77.3,81.7,345,42.5,21.08,
WC-015,Welded Chain,Narrow Series Welded Crank-Link Mill Chain,Narrow Series,welded_narrow_001,WR150,153.67,69.85,111.6,44.5,63.5,12.7,25.4,77.3,81.7,345,42.5,24.93,
WC-016,Welded Chain,Narrow Series Welded Crank-Link Mill Chain,Narrow Series,welded_narrow_002,WH78,66.27,28.4,51,22.23,28.6,6.4,12.7,36.3,39.5,160,15.6,5.92,
WC-017,Welded Chain,Narrow Series Welded Crank-Link Mill Chain,Narrow Series,welded_narrow_002,WH78B,66.27,28.4,51,27,31.8,6.4,12.7,36.3,39.5,160,15.6,6.98,
WC-018,Welded Chain,Narrow Series Welded Crank-Link Mill Chain,Narrow Series,welded_narrow_002,WH78HD,66.95,25.4,51.2,25.4,31.8,9.5,14.27,40.2,45.3,200,19.6,9.4,
WC-019,Welded Chain,Narrow Series Welded Crank-Link Mill Chain,Narrow Series,welded_narrow_002,WH82,78.1,31.8,57.4,27,31.8,6.4,14.27,40,43.5,200,19.6,7.14,
WC-020,Welded Chain,Narrow Series Welded Crank-Link Mill Chain,Narrow Series,welded_narrow_002,WH82HD,78.1,28.6,60.8,31.75,38.1,9.5,19.05,46.5,50.8,320,32.7,12.7,
WC-021,Welded Chain,Narrow Series Welded Crank-Link Mill Chain,Narrow Series,welded_narrow_002,WH9103HD,78.1,28.6,57.9,31.75,38.1,9.5,18.95,43.5,48.4,320,32.9,11.9,
WC-022,Welded Chain,Narrow Series Welded Crank-Link Mill Chain,Narrow Series,welded_narrow_002,WH124,101.6,38.1,71.5,31.8,38.1,9.5,19.05,52,56,320,32.7,11.5,
WC-023,Welded Chain,Narrow Series Welded Crank-Link Mill Chain,Narrow Series,welded_narrow_002,WH124HD,103.2,38.1,76.3,41.28,50.8,12.7,25.4,59.4,64.3,540,66.8,21.3,
WC-024,Welded Chain,Narrow Series Welded Crank-Link Mill Chain,Narrow Series,welded_narrow_002,WH111,120.9,50.8,85.6,31.8,44.5,9.5,19.05,59.4,63.3,320,39.5,13,
WC-025,Welded Chain,Narrow Series Welded Crank-Link Mill Chain,Narrow Series,welded_narrow_002,WH720,152.4,28.5,55,32,40,10,19.05,44.5,49.5,350,35.8,9.7,
WC-026,Welded Chain,Narrow Series Welded Crank-Link Mill Chain,Narrow Series,welded_narrow_002,WH106,152.4,38.1,71.5,31.8,38.1,9.5,19.05,52,56,320,32.7,9.6,
WC-027,Welded Chain,Narrow Series Welded Crank-Link Mill Chain,Narrow Series,welded_narrow_002,WH110,152.4,44.5,76.5,31.8,38.1,9.5,19.05,54.4,59.6,320,32.7,9.6,
WC-028,Welded Chain,Narrow Series Welded Crank-Link Mill Chain,Narrow Series,welded_narrow_002,WH132HD,153.67,69.85,119.03,44.5,50.8,15.9,25.4,84,89.7,540,69.3,24.8,
WC-029,Welded Chain,Narrow Series Welded Crank-Link Mill Chain,Narrow Series,welded_narrow_003,WHX124,101.6,38.1,71.5,36.55,38.1,9.5,19.05,51.8,56.2,320,32.7,12.5,
WC-030,Welded Chain,Narrow Series Welded Crank-Link Mill Chain,Narrow Series,welded_narrow_003,WHX124HD,103.2,38.1,76.3,41.28,50.8,12.7,25.4,59.4,64.3,540,66.8,20.7,
WC-031,Welded Chain,Narrow Series Welded Crank-Link Mill Chain,Narrow Series,welded_narrow_003,WHX111,120.9,50.8,85.6,36.55,38.1,9.5,19.05,58.7,64.5,320,39.5,12.5,
WC-032,Welded Chain,Narrow Series Welded Crank-Link Mill Chain,Narrow Series,welded_narrow_003,WHX111HD,120.9,57.15,91.96,36.53,50.8,12.7,19.05,65.5,69.5,320,39.5,19.1,
WC-033,Welded Chain,Narrow Series Welded Crank-Link Mill Chain,Narrow Series,welded_narrow_003,WHX132,153.67,69.85,111.6,44.5,50.8,12.7,25.4,77.3,81.7,540,66.8,20.4,
WC-034,Welded Chain,Narrow Series Welded Crank-Link Mill Chain,Narrow Series,welded_narrow_003,WHX132HD,153.67,69.85,119.03,44.5,50.8,15.9,25.4,84,89.7,540,69.3,24.8,
WC-035,Welded Chain,Narrow Series Welded Crank-Link Mill Chain,Narrow Series,welded_narrow_003,WHX106,152.4,38.1,71.5,36.55,38.1,9.5,19.05,51.8,56.2,320,32.7,9.7,
WC-036,Welded Chain,Narrow Series Welded Crank-Link Mill Chain,Narrow Series,welded_narrow_003,WHX150,153.67,69.85,111.6,44.5,63.5,12.7,25.4,77.3,81.7,540,66.8,24.5,
WC-037,Welded Chain,Narrow Series Welded Crank-Link Mill Chain,Narrow Series,welded_narrow_003,FWHX150,153.67,69.85,110,44.5,65,12,25,75,81,520,64.5,24.7,
WC-038,Welded Chain,Narrow Series Welded Crank-Link Mill Chain,Narrow Series,welded_narrow_003,WHX155,153.67,69.85,112.1,44.5,63.5,14.3,28.4,77.4,87.5,660,77.8,27.7,
WC-039,Welded Chain,Narrow Series Welded Crank-Link Mill Chain,Narrow Series,welded_narrow_003,WHX157,153.67,69.85,118.1,44.5,63.5,15.9,28.55,81.4,92.6,750,80.9,29.3,
WC-040,Welded Chain,Narrow Series Welded Crank-Link Mill Chain,Narrow Series,welded_narrow_003,WHX159,155.58,73,118.1,50.8,76.2,15.9,31.5,83,84.8,930,90,38.4,
WC-041,Welded Chain,Narrow Series Welded Crank-Link Mill Chain,Narrow Series,welded_narrow_003,WHX4855,304.8,69.85,116.9,44.5,63.5,15.9,31.55,81.8,84.3,780,76.8,22.5,
WC-042,Welded Chain,Narrow Series Welded Crank-Link Mill Chain,Narrow Series,welded_narrow_003,WHX4859,304.8,73,118.1,50.8,76.2,15.9,31.5,83,84.8,930,87.5,28.9,
WC-043,Welded Chain,Wide Series Welded Crank-Link Mill Chain,Wide Series,welded_wide_001,WDR104,152.4,104.6,136.9,38.1,9.5,19.05,84.2,91,204,28.5,12,,
WC-044,Welded Chain,Wide Series Welded Crank-Link Mill Chain,Wide Series,welded_wide_001,WDR110,152.4,228.6,263.9,38.1,9.5,19.05,147.8,154.5,204,28.5,17,,
WC-045,Welded Chain,Wide Series Welded Crank-Link Mill Chain,Wide Series,welded_wide_001,WDR120,152.4,222.2,260.4,50.8,12.7,22.23,150.5,157,390,48,28.7,,
WC-046,Welded Chain,Wide Series Welded Crank-Link Mill Chain,Wide Series,welded_wide_001,WDR112,203.2,228.6,263.9,38.1,9.5,19.05,147.8,154.5,204,28.5,14.1,,
WC-047,Welded Chain,Wide Series Welded Crank-Link Mill Chain,Wide Series,welded_wide_001,WDR116,203.2,325.8,358.7,44.5,9.5,19.05,195.4,201.8,262,36.5,18.8,,
WC-048,Welded Chain,Wide Series Welded Crank-Link Mill Chain,Wide Series,welded_wide_001,WDR118,203.2,334,378.45,50.8,12.7,22.23,210.7,217.2,390,48,32.1,,
WC-049,Welded Chain,Wide Series Welded Crank-Link Mill Chain,Wide Series,welded_wide_001,WDR480,203.2,282.4,324.1,50.8,12.7,22.23,182.2,188.7,390,48,26.9,,
WC-050,Welded Chain,Wide Series Welded Crank-Link Mill Chain,Wide Series,welded_wide_001,WDR2210,155.85,228.6,263.9,38.1,9.5,19.05,147.8,154.5,204,28.5,16.7,,
WC-051,Welded Chain,Wide Series Welded Crank-Link Mill Chain,Wide Series,welded_wide_001,WDR2380,207.29,282.4,324.1,50.8,12.7,22.23,182.2,188.7,390,48,26.6,,
WC-052,Welded Chain,Wide Series Welded Crank-Link Mill Chain,Wide Series,welded_wide_002,WDH104,152.4,104.6,136.9,38.1,9.5,19.05,84.2,91,310,44.5,12,,
WC-053,Welded Chain,Wide Series Welded Crank-Link Mill Chain,Wide Series,welded_wide_002,WDH110,152.4,228.6,263.9,38.1,9.5,19.05,147.8,154.5,310,44.5,16.9,,
WC-054,Welded Chain,Wide Series Welded Crank-Link Mill Chain,Wide Series,welded_wide_002,WDH120,152.4,222.2,260.4,50.8,12.7,22.23,150.5,157,500,66.8,28.7,,
WC-055,Welded Chain,Wide Series Welded Crank-Link Mill Chain,Wide Series,welded_wide_002,WDH112,203.2,228.6,263.9,38.1,9.5,19.05,147.8,154.5,310,44.5,14.1,,
WC-056,Welded Chain,Wide Series Welded Crank-Link Mill Chain,Wide Series,welded_wide_002,WDH116,203.2,325.8,358.7,44.5,9.5,19.05,195.4,201.8,320,51.2,18.8,,
WC-057,Welded Chain,Wide Series Welded Crank-Link Mill Chain,Wide Series,welded_wide_002,WDH118,203.2,334,378.45,50.8,12.7,22.23,210.7,217.2,500,66.8,32.1,,
WC-058,Welded Chain,Wide Series Welded Crank-Link Mill Chain,Wide Series,welded_wide_002,WDH480,203.2,282.4,324.1,50.8,12.7,22.23,182.2,188.7,500,66.8,26.9,,
WC-059,Welded Chain,Wide Series Welded Crank-Link Mill Chain,Wide Series,welded_wide_002,WDH580,203.2,282.4,324.1,50.8,12.7,25.4,181.5,189.3,540,91.2,29.2,,
WC-060,Welded Chain,Wide Series Welded Crank-Link Mill Chain,Wide Series,welded_wide_002,WDH680,203.2,282.4,330.2,50.8,16,25.4,190.7,198.5,540,91.2,32.5,,
WC-061,Welded Chain,Wide Series Welded Crank-Link Mill Chain,Wide Series,welded_wide_002,WDH2210,155.85,228.6,263.9,38.1,9.5,19.05,147.8,154.5,310,44.5,16.7,,
WC-062,Welded Chain,Wide Series Welded Crank-Link Mill Chain,Wide Series,welded_wide_002,WDH2380,207.29,282.4,324.1,50.8,12.7,22.23,182.2,188.7,500,66.8,26.6,,